--------------------------------------------------------------------------------
GSWAVELENGTH -- Thu Jan 30 11:49:45 CST 2020
 
inimages = gsS20180928S0014.fits
Calibrating extension: 1

AUTOIDENTIFY: NOAO/IRAF V2.16 mmarcano@tux Thu 11:49:46 30-Jan-2020
  Spectrum                 # Found   Midpoint Dispersion        RMS
  gsS20180928S0014_001[*,1044]         70    6572.41       -1.5      0.555
--------------------------------------------------------------------------------
GSWAVELENGTH -- Thu Jan 30 12:15:10 CST 2020
 
inimages = gsS20180928S0014.fits
Calibrating extension: 1

AUTOIDENTIFY: NOAO/IRAF V2.16 mmarcano@tux Thu 12:15:11 30-Jan-2020
  Spectrum                 # Found   Midpoint Dispersion        RMS
  gsS20180928S0014_001[*,1044]         70    6572.41       -1.5      0.555

REIDENTIFY: NOAO/IRAF V2.16 mmarcano@tux Thu 12:16:03 30-Jan-2020
  Reference image = gsS20180928S0014_001, New image = gsS20180928S0014_001, Refit = yes
          Image Data    Found     Fit Pix Shift  User Shift  Z Shift      RMS
gsS20180928S0014_001[*,1034] 70/70   65/72     -0.257       0.372  8.25E-5     0.51
gsS20180928S0014_001[*,1024] 69/72   67/73     0.0579     -0.0827  -2.1E-5    0.503
gsS20180928S0014_001[*,1014] 73/73   65/75      0.114      -0.164  -3.8E-5    0.403
gsS20180928S0014_001[*,1004] 72/75   64/74      0.165      -0.239  -5.4E-5    0.392
gsS20180928S0014_001[*,994] 71/74   65/74    -0.0803       0.117  2.38E-5    0.484
gsS20180928S0014_001[*,984] 71/74   67/72      0.138      -0.198  -4.7E-5    0.494
gsS20180928S0014_001[*,974] 70/72   67/73    -0.0961        0.14  3.04E-5    0.525
gsS20180928S0014_001[*,964] 70/73   67/72     0.0163     -0.0225  -7.5E-6    0.477
gsS20180928S0014_001[*,954] 71/72   63/74      0.133      -0.191  -4.5E-5    0.408
gsS20180928S0014_001[*,944] 72/74   63/73     -0.102       0.148  3.03E-5    0.407
gsS20180928S0014_001[*,934] 72/73   66/74     0.0244     -0.0352  -8.2E-6    0.416
gsS20180928S0014_001[*,924] 72/74   65/73    -0.0854       0.125  2.45E-5    0.433
gsS20180928S0014_001[*,914] 72/73   67/74    -0.0786       0.115  2.35E-5     0.59
gsS20180928S0014_001[*,904] 70/74   64/73       0.19      -0.273  -6.5E-5     0.39
gsS20180928S0014_001[*,894] 72/73   64/74    -0.0125      0.0198  5.13E-7    0.382
gsS20180928S0014_001[*,884] 71/74   65/73    -0.0122      0.0194  4.76E-7    0.552
gsS20180928S0014_001[*,874] 71/73   64/72     0.0449     -0.0647  -1.5E-5    0.515
gsS20180928S0014_001[*,864] 72/72   64/73     0.0868      -0.123  -3.3E-5    0.432
gsS20180928S0014_001[*,854] 71/73   65/72     0.0877      -0.126  -3.1E-5    0.493
gsS20180928S0014_001[*,844] 72/72   63/74      0.253      -0.364  -8.6E-5    0.405
gsS20180928S0014_001[*,834] 71/74   63/75   -0.00332     0.00642  -2.2E-6    0.402
gsS20180928S0014_001[*,824] 72/75   66/73     -0.255       0.371  8.01E-5    0.536
gsS20180928S0014_001[*,814] 72/73   66/72     0.0163     -0.0225  -7.7E-6    0.441
gsS20180928S0014_001[*,804] 68/72   65/70    -0.0505      0.0753  1.22E-5     0.55
gsS20180928S0014_001[*,794] 69/70   67/73   -0.00888      0.0149  -1.5E-6    0.563
gsS20180928S0014_001[*,784] 71/73   65/72       0.12      -0.171  -4.3E-5    0.576
gsS20180928S0014_001[*,774] 68/72   62/74     -0.104       0.153  2.93E-5    0.406
gsS20180928S0014_001[*,764] 73/74   65/74    0.00941     -0.0115  -7.5E-6    0.522
gsS20180928S0014_001[*,754] 71/74   66/72    -0.0219      0.0354  -6.4E-7    0.698
gsS20180928S0014_001[*,744] 50/72   57/57     -0.296       0.415  1.21E-4     5.25
gsS20180928S0014_001[*,734] 50/57   75/80      0.279      -0.413  -1.1E-4      3.2
gsS20180928S0014_001[*,724] 77/80   77/82     -0.056       0.083  1.37E-5     3.34
gsS20180928S0014_001[*,714] 77/82   66/81    -0.0324      0.0483  8.72E-6     0.49
gsS20180928S0014_001[*,704] 80/81   69/82     -0.163       0.239  4.87E-5    0.516
gsS20180928S0014_001[*,694] 80/82   67/81     0.0409     -0.0579  -1.6E-5    0.543
gsS20180928S0014_001[*,684] 77/81   64/81     -0.027      0.0406  5.68E-6    0.431
gsS20180928S0014_001[*,674] 79/81   65/81     -0.101        0.15  2.60E-5    0.423
gsS20180928S0014_001[*,664] 78/81   64/79     0.0433     -0.0608  -1.8E-5    0.425
gsS20180928S0014_001[*,654] 77/79   66/79    -0.0557       0.084  1.12E-5    0.476
gsS20180928S0014_001[*,644] 77/79   66/80      0.107      -0.152  -4.0E-5    0.429
gsS20180928S0014_001[*,634] 76/80   66/77     -0.144       0.212  4.17E-5    0.536
gsS20180928S0014_001[*,624] 74/77   65/78     0.0221     -0.0291  -1.3E-5    0.435
gsS20180928S0014_001[*,614] 76/78   67/77     -0.113       0.167  3.00E-5    0.566
gsS20180928S0014_001[*,604] 74/77   64/78    -0.0267        0.04  5.97E-6    0.422
gsS20180928S0014_001[*,594] 75/78   68/77     -0.133       0.196  3.77E-5    0.576
gsS20180928S0014_001[*,584] 76/77   65/79      -0.15        0.22  4.30E-5    0.411
gsS20180928S0014_001[*,574] 77/79   67/82     -0.219        0.32  6.51E-5    0.403
gsS20180928S0014_001[*,564] 78/82   65/78     -0.386       0.562  1.20E-4    0.452
gsS20180928S0014_001[*,554] 76/78   71/78      0.129      -0.184  -4.8E-5     0.54
gsS20180928S0014_001[*,544] 76/78   67/77   -2.23E-4     0.00416  -7.9E-6     0.49
gsS20180928S0014_001[*,534] 77/77   68/78      -0.29       0.422  8.95E-5    0.573
gsS20180928S0014_001[*,524] 75/78   69/77    -0.0111      0.0201  -4.5E-6    0.507
gsS20180928S0014_001[*,514] 75/77   70/78    -0.0827       0.123  2.05E-5    0.784
gsS20180928S0014_001[*,504] 73/78   67/75     -0.126       0.187  3.33E-5    0.568
gsS20180928S0014_001[*,494] 74/75   69/77     0.0506     -0.0694  -2.4E-5    0.603
gsS20180928S0014_001[*,484] 76/77   71/79      0.122      -0.174  -4.6E-5    0.599
gsS20180928S0014_001[*,474] 74/79   63/77    -0.0847       0.127  1.80E-5      0.4
gsS20180928S0014_001[*,464] 73/77   67/77     -0.104       0.155  2.62E-5    0.433
gsS20180928S0014_001[*,454] 77/77   67/81    -0.0369      0.0575  3.60E-6    0.562
gsS20180928S0014_001[*,444] 76/81   64/77    -0.0653      0.0978  1.47E-5    0.432
gsS20180928S0014_001[*,434] 76/77   69/79    -0.0796        0.12  1.59E-5    0.563
gsS20180928S0014_001[*,424] 78/79   65/81    -0.0605      0.0915  1.15E-5    0.441
gsS20180928S0014_001[*,414] 79/81   64/81    -0.0496       0.072  1.60E-5    0.468
gsS20180928S0014_001[*,404] 79/81   65/81     -0.138       0.208  2.96E-5     0.41
gsS20180928S0014_001[*,394] 78/81   67/79      0.119      -0.167  -5.0E-5     0.47
gsS20180928S0014_001[*,384] 78/79   64/81     0.0545     -0.0743  -2.7E-5    0.375
gsS20180928S0014_001[*,374] 76/81   64/77    -0.0574      0.0868  1.13E-5    0.435
gsS20180928S0014_001[*,364] 77/77   65/81      0.125      -0.178  -4.8E-5    0.421
gsS20180928S0014_001[*,354] 77/81   64/78     -0.115       0.172  2.59E-5    0.427
gsS20180928S0014_001[*,344] 76/78   64/78     -0.166       0.245  4.57E-5    0.416
gsS20180928S0014_001[*,334] 76/78   67/79      -0.35       0.511  1.05E-4    0.428
gsS20180928S0014_001[*,324] 76/79   65/77     0.0475     -0.0648  -2.3E-5    0.446
gsS20180928S0014_001[*,314] 75/77   65/78     -0.258       0.379  7.32E-5    0.417
gsS20180928S0014_001[*,304] 75/78   63/77     -0.206       0.303  5.76E-5    0.409
gsS20180928S0014_001[*,294] 75/77   63/76     -0.129       0.192  3.30E-5    0.395
gsS20180928S0014_001[*,284] 75/76   64/78     0.0381     -0.0514  -2.0E-5    0.426
gsS20180928S0014_001[*,274] 77/78   69/79     0.0388     -0.0509  -2.4E-5    0.551
gsS20180928S0014_001[*,264] 77/79   66/78     -0.041      0.0638  4.51E-6    0.472
gsS20180928S0014_001[*,254] 76/78   66/77     -0.145       0.214  3.71E-5    0.539
gsS20180928S0014_001[*,244] 76/77   71/79    -0.0522        0.08  7.78E-6    0.529
gsS20180928S0014_001[*,234] 76/79   65/76    -0.0501      0.0768  7.92E-6    0.464
gsS20180928S0014_001[*,224] 74/76   66/78    -0.0847       0.128  1.60E-5    0.486
gsS20180928S0014_001[*,214] 75/78   67/77     -0.191       0.283  4.94E-5    0.507
gsS20180928S0014_001[*,204] 74/77   69/80     -0.108        0.16  3.00E-5    0.582
gsS20180928S0014_001[*,194] 74/80   66/75     -0.131       0.194  3.35E-5    0.473
gsS20180928S0014_001[*,184] 73/75   65/77     -0.141       0.213  2.88E-5    0.454
gsS20180928S0014_001[*,174] 75/77   66/77    -0.0673       0.103  1.16E-5    0.481
gsS20180928S0014_001[*,164] 74/77   67/78     -0.193       0.284  5.16E-5    0.465
gsS20180928S0014_001[*,154] 76/78   64/80     -0.334       0.489  9.90E-5    0.404
gsS20180928S0014_001[*,144] 78/80   67/79     -0.192       0.285  5.01E-5    0.569
gsS20180928S0014_001[*,134] 77/79   64/80      0.178      -0.253  -6.4E-5    0.545
gsS20180928S0014_001[*,124] 78/80   67/79      -0.23        0.34  5.93E-5    0.539
gsS20180928S0014_001[*,114] 75/79   68/79     0.0532     -0.0693  -3.3E-5     0.57
gsS20180928S0014_001[*,104] 75/79   67/76     -0.199       0.292  5.62E-5    0.517
gsS20180928S0014_001[*,94] 75/76   69/79     0.0838      -0.117  -3.7E-5    0.608
gsS20180928S0014_001[*,84] 77/79   65/80     0.0596     -0.0753  -4.1E-5    0.616
gsS20180928S0014_001[*,74] 80/80   67/83     -0.302       0.439  9.57E-5      0.6
gsS20180928S0014_001[*,64] 82/83   70/84     -0.393       0.573  1.19E-4     0.62
gsS20180928S0014_001[*,54] 76/84   80/82       0.19      -0.275  -6.3E-5     3.39
